instance,dataset,min,avg,method
p_hat300-1,dimacs,9,9,ILPS2
p_hat300-1,dimacs,9,9,ILPS3
p_hat300-1,dimacs,9,9,MAE-PB
p_hat300-2,dimacs,5,5.1,GRASP+PC
p_hat300-2,dimacs,5,5,MEMETIC
p_hat300-2,dimacs,5,5,drMIDS
p_hat300-2,dimacs,5,5,ILPS2
p_hat300-2,dimacs,5,5,ILPS3
p_hat300-2,dimacs,5,5,MAE-PB
p_hat300-3,dimacs,3,3,GRASP+PC
p_hat300-3,dimacs,3,3,MEMETIC
p_hat300-3,dimacs,3,3,drMIDS
p_hat300-3,dimacs,3,3,ILPS2
p_hat300-3,dimacs,3,3,ILPS3
p_hat300-3,dimacs,3,3,MAE-PB
p_hat700-1,dimacs,11,11,GRASP+PC
p_hat700-1,dimacs,11,11,MEMETIC
p_hat700-1,dimacs,11,11,drMIDS
p_hat700-1,dimacs,11,11,ILPS2
p_hat700-1,dimacs,11,11.2,ILPS3
p_hat700-1,dimacs,11,11,MAE-PB
p_hat700-2,dimacs,6,6.5,GRASP+PC
p_hat700-2,dimacs,6,6.3,MEMETIC
p_hat700-2,dimacs,6,6,drMIDS
p_hat700-2,dimacs,6,6.6,ILPS2
p_hat700-2,dimacs,6,6.4,ILPS3
p_hat700-2,dimacs,6,6,MAE-PB
p_hat700-3,dimacs,3,3,GRASP+PC
p_hat700-3,dimacs,3,3,MEMETIC
p_hat700-3,dimacs,3,3,drMIDS
p_hat700-3,dimacs,3,3,ILPS2
p_hat700-3,dimacs,3,3,ILPS3
p_hat700-3,dimacs,3,3,MAE-PB
san1000,dimacs,4,4,GRASP+PC
san1000,dimacs,4,4,MEMETIC
san1000,dimacs,4,4,drMIDS
san1000,dimacs,4,4.7,ILPS2
san1000,dimacs,4,4.2,ILPS3
san1000,dimacs,4,4,MAE-PB
san200_0.7_1,dimacs,7,7,GRASP+PC
san200_0.7_1,dimacs,6,6,MEMETIC
san200_0.7_1,dimacs,6,6,drMIDS
san200_0.7_1,dimacs,6,6.1,ILPS2
san200_0.7_1,dimacs,6,6.8,ILPS3
san200_0.7_1,dimacs,6,6,MAE-PB
san200_0.7_2,dimacs,6,6,GRASP+PC
san200_0.7_2,dimacs,6,6,MEMETIC
san200_0.7_2,dimacs,6,6,drMIDS
san200_0.7_2,dimacs,6,6,ILPS2
san200_0.7_2,dimacs,6,6,ILPS3
san200_0.7_2,dimacs,6,6,MAE-PB
san200_0.9_1,dimacs,16,16,GRASP+PC
san200_0.9_1,dimacs,15,15,MEMETIC
san200_0.9_1,dimacs,15,15,drMIDS
san200_0.9_1,dimacs,15,15,ILPS2
san200_0.9_1,dimacs,15,15,ILPS3
san200_0.9_1,dimacs,15,15,MAE-PB
san200_0.9_2,dimacs,16,16.4,GRASP+PC
san200_0.9_2,dimacs,16,16,MEMETIC
san200_0.9_2,dimacs,16,16,drMIDS
san200_0.9_2,dimacs,16,16,ILPS2
san200_0.9_2,dimacs,16,16,ILPS3
san200_0.9_2,dimacs,16,16,MAE-PB
san200_0.9_3,dimacs,15,15.1,GRASP+PC
san200_0.9_3,dimacs,15,15,MEMETIC
san200_0.9_3,dimacs,15,15,drMIDS
san200_0.9_3,dimacs,15,15.3,ILPS2
san200_0.9_3,dimacs,15,15.1,ILPS3
san200_0.9_3,dimacs,15,15,MAE-PB
san400_0.5_1,dimacs,4,4,GRASP+PC
san400_0.5_1,dimacs,4,4,MEMETIC
san400_0.5_1,dimacs,4,4,drMIDS
san400_0.5_1,dimacs,4,4,ILPS2
san400_0.5_1,dimacs,4,4,ILPS3
san400_0.5_1,dimacs,4,4,MAE-PB
san400_0.7_1,dimacs,7,7.1,GRASP+PC
san400_0.7_1,dimacs,7,7,MEMETIC
san400_0.7_1,dimacs,7,7,drMIDS
san400_0.7_1,dimacs,7,7.9,ILPS2
san400_0.7_1,dimacs,8,8,ILPS3
san400_0.7_1,dimacs,7,7,MAE-PB
san400_0.7_2,dimacs,7,7,GRASP+PC
san400_0.7_2,dimacs,7,7,MEMETIC
san400_0.7_2,dimacs,7,7,drMIDS
san400_0.7_2,dimacs,7,7.6,ILPS2
san400_0.7_2,dimacs,7,7.9,ILPS3
san400_0.7_2,dimacs,7,7,MAE-PB
san400_0.7_3,dimacs,8,8,GRASP+PC
san400_0.7_3,dimacs,7,7,MEMETIC
san400_0.7_3,dimacs,7,7,drMIDS
san400_0.7_3,dimacs,7,7.8,ILPS2
san400_0.7_3,dimacs,8,8,ILPS3
san400_0.7_3,dimacs,7,7,MAE-PB
frb30-15-1,bhoslib,11,11,GRASP+PC
frb30-15-1,bhoslib,11,11,MEMETIC
frb30-15-1,bhoslib,11,11,drMIDS
frb30-15-1,bhoslib,11,11.2,ILPS2
frb30-15-1,bhoslib,11,11.7,ILPS3
frb30-15-1,bhoslib,11,11,MAE-PB
frb30-15-2,bhoslib,11,11.4,GRASP+PC
frb30-15-2,bhoslib,11,11.1,MEMETIC
frb30-15-2,bhoslib,11,11,drMIDS
frb30-15-2,bhoslib,11,11.7,ILPS2
frb30-15-2,bhoslib,11,11.9,ILPS3
frb30-15-2,bhoslib,11,11,MAE-PB
frb30-15-3,bhoslib,12,12,GRASP+PC
frb30-15-3,bhoslib,11,11.2,MEMETIC
frb30-15-3,bhoslib,11,11,drMIDS
frb30-15-3,bhoslib,11,11.9,ILPS2
