instance,dataset,avg,method,lbs,ardp,log_ratio
frb30-15-5,bhoslib,11,drMIDS,2,450,1.7047480922384253
frb30-15-5,bhoslib,11.7,ILPS2,2,484.99999999999994,1.766441661243765
frb30-15-5,bhoslib,11.9,ILPS3,2,495,1.7833912195575383
frb30-15-5,bhoslib,11,MAE,2,450,1.7047480922384253
frb30-15-5,bhoslib,4.5,GREEDY,2,125,0.8109302162163288
frb35-17-1,bhoslib,14,GRASP,2,600,1.9459101490553132
frb35-17-1,bhoslib,13.6,MEMETIC,2,580,1.916922612182061
frb35-17-1,bhoslib,13,drMIDS,2,550,1.8718021769015913
frb35-17-1,bhoslib,13.9,ILPS2,2,595,1.9387416595767009
frb35-17-1,bhoslib,14,ILPS3,2,600,1.9459101490553132
frb35-17-1,bhoslib,13,MAE,2,550,1.8718021769015913
frb35-17-1,bhoslib,4,GREEDY,2,100,0.6931471805599453
frb35-17-2,bhoslib,13.7,GRASP,2,585,1.9242486522741338
frb35-17-2,bhoslib,13.9,MEMETIC,2,595,1.9387416595767009
frb35-17-2,bhoslib,13,drMIDS,2,550,1.8718021769015913
frb35-17-2,bhoslib,13.8,ILPS2,2,590,1.9315214116032138
frb35-17-2,bhoslib,14,ILPS3,2,600,1.9459101490553132
frb35-17-2,bhoslib,13,MAE,2,550,1.8718021769015913
frb35-17-2,bhoslib,4.8,GREEDY,2,140,0.8754687373538999
frb35-17-3,bhoslib,13.3,GRASP,2,565,1.8946168546677629
frb35-17-3,bhoslib,13.6,MEMETIC,2,580,1.916922612182061
frb35-17-3,bhoslib,13,drMIDS,2,550,1.8718021769015913
frb35-17-3,bhoslib,13.8,ILPS2,2,590,1.9315214116032138
frb35-17-3,bhoslib,14,ILPS3,2,600,1.9459101490553132
frb35-17-3,bhoslib,13,MAE,2,550,1.8718021769015913
frb35-17-3,bhoslib,3,GREEDY,2,50,0.4054651081081644
frb35-17-4,bhoslib,14,GRASP,2,600,1.9459101490553132
frb35-17-4,bhoslib,13.9,MEMETIC,2,595,1.9387416595767009
frb35-17-4,bhoslib,13.3,drMIDS,2,565,1.8946168546677629
frb35-17-4,bhoslib,13.8,ILPS2,2,590,1.9315214116032138
frb35-17-4,bhoslib,13.9,ILPS3,2,595,1.9387416595767009
