instances,times
san400-0-7-1,0.229171991348267
san400-0-7-2,0.222442150115967
frb40-19-5,0.76036810874939
frb30-15-3,0.242916107177734
san200-0-9-3,0.245386838912964
san400-0-5-1,0.184648990631104
hamming6-4,0.0196208953857422
MANN-a81,15.848443031311
san400-0-5-1,0.208927154541016
frb30-15-2,0.295458793640137
c-fat500-1,0.0574288368225098
frb35-17-5,0.477560043334961
keller5,0.839056968688965
c-fat500-2,0.0689918994903564
hamming6-2,0.0257549285888672
frb59-26-5,3.00112104415894
san400-0-7-1,0.235152006149292
frb35-17-5,0.478870868682861
frb59-26-2,3.05707502365112
frb35-17-5,0.477433919906616
c-fat500-1,0.0572419166564941
c-fat200-2,0.030311107635498
keller4,0.0499658584594727
MANN-a27,0.262192010879517
C125-9,0.0432059764862061
frb53-24-4,2.05911803245544
MANN-a9,0.0300729274749756
C1000-9,1.31334209442139
c-fat500-2,0.0920600891113281
frb50-23-1,1.72271013259888
frb35-17-4,0.490600109100342
frb35-17-5,0.479975938796997
frb30-15-2,0.311506032943726
p-hat1500-3,2.43741083145142
C250-9,0.10456395149231
p-hat700-2,0.440746068954468
MANN-a9,0.0190620422363281
frb30-15-2,0.3332200050354
johnson16-2-4,0.0348379611968994
DSJC500-5,0.255977153778076
p-hat700-1,0.260044097900391
frb40-19-1,0.761122941970825
san200-0-9-2,0.0806138515472412
frb53-24-4,2.05839586257935
johnson8-4-4,0.0218930244445801
frb30-15-2,0.345395088195801
keller4,0.0698599815368652
p-hat700-1,0.263162136077881
frb59-26-1,3.21725487709045
gen400-p0-9-65,0.266590118408203
c-fat500-1,0.0592169761657715
hamming8-4,0.139364957809448
c-fat200-1,0.0284309387207031
johnson8-4-4,0.0243589878082275
c-fat500-2,0.0959761142730713
frb40-19-2,0.815684080123901
frb30-15-2,0.325850963592529
frb100-40,21.6798820495605
C2000-5,2.97905302047729
c-fat200-1,0.0266311168670654
p-hat1500-1,0.918835878372192
san400-0-7-2,0.185126066207886
brock400-4,0.244848012924194
c-fat500-1,0.060999870300293
c-fat500-1,0.146173000335693
frb35-17-5,0.48540997505188
frb35-17-5,0.483922004699707
san400-0-7-2,0.229698181152344
gen200-p0-9-55,0.176450967788696
c-fat200-2,0.0272541046142578
frb35-17-5,0.483615159988403
C1000-9,1.30646991729736
p-hat1500-1,0.881889820098877
frb30-15-3,0.316647052764893
C2000-9,5.13352608680725
c-fat500-5,0.145530939102173
p-hat300-3,0.128014087677002
gen400-p0-9-55,0.263475894927979
frb53-24-2,2.08087491989136
p-hat300-3,0.126241207122803
frb45-21-1,1.19344305992126
san400-0-5-1,0.184375047683716
frb50-23-5,1.67936897277832
frb45-21-5,1.29935598373413
san200-0-9-1,0.0766699314117432
C500-9,0.387625932693481
c-fat500-5,0.0932531356811523
c-fat500-1,0.0520129203796387
frb40-19-2,0.785062789916992
p-hat700-3,0.588099002838135
frb53-24-1,2.06035208702087
keller4,0.0488591194152832
MANN-a27,0.277776002883911
san400-0-7-1,0.248247861862183
frb30-15-1,0.297197818756104
c-fat500-1,0.0571539402008057
frb53-24-4,2.06061697006226
frb30-15-1,0.327867031097412
frb59-26-4,3.00166201591492
san400-0-7-3,0.22368311882019
frb100-40,21.5381247997284
frb35-17-4,0.515121936798096
frb59-26-4,3.1404550075531
frb45-21-4,1.18799090385437
frb53-24-5,2.23498797416687
frb35-17-1,0.482564926147461
brock400-2,0.239598989486694
frb30-15-5,0.321128129959106
MANN-a81,15.8637909889221
frb53-24-3,2.23117208480835
C2000-9,5.11379098892212
san200-0-7-2,0.115442991256714
frb50-23-3,1.68389892578125
gen200-p0-9-55,0.0808610916137695
C2000-9,5.14925789833069
frb59-26-4,2.99205899238586
frb35-17-5,0.538368940353394
frb59-26-1,3.00865006446838
c-fat200-5,0.0442330837249756
brock400-4,0.233902215957642
frb50-23-5,1.7047591209411599
frb35-17-1,0.484673023223877
frb50-23-5,1.7286810874939
frb40-19-3,1.01892495155334
johnson8-2-4,0.0207169055938721
san400-0-7-3,0.234439134597778
frb53-24-1,2.65859484672546
frb30-15-5,0.29486083984375
frb35-17-2,0.480211019515991
frb45-21-1,1.24015498161316
gen200-p0-9-44,0.0671510696411133
san400-0-5-1,0.18303108215332
san200-0-7-1,0.0524270534515381
brock800-2,0.630012989044189
hamming6-2,0.0198118686676025
frb53-24-1,2.16720581054688
san200-0-7-2,0.0509579181671143
frb59-26-5,3.90835309028625
MANN-a81,22.8275020122528
frb59-26-2,3.75238800048828
c-fat500-5,0.0868721008300781
brock400-2,0.232262849807739
hamming10-4,1.48087096214294
C2000-5,3.51726007461548
MANN-a27,0.212743043899536
frb40-19-4,0.812330007553101
C1000-9,1.5082061290741
san400-0-7-1,0.209375858306885
frb59-26-5,3.16523289680481
C500-9,0.381772994995117
san200-0-9-3,0.0639691352844238
brock400-4,0.233251094818115
gen400-p0-9-65,0.275048017501831
frb50-23-4,1.76257109642029
frb45-21-5,1.20385193824768
frb35-17-5,0.478073835372925
san400-0-7-3,0.309613943099976
johnson16-2-4,0.0441160202026367
