instances,datasets,random_numbers,solutions,iters,times
frb35-17-3,bhoslib,270,3,3,412.721601
frb35-17-3,bhoslib,271,3,3,408.823501
san400_0.7_2,dimacs,272,4,4,208.274801
gen400_p0.9_55,dimacs,273,2,2,218.325201
c-fat200-5,dimacs,274,3,3,40.691801
frb35-17-3,bhoslib,275,3,3,410.608801
C1000.9,dimacs,276,3,3,1224.588401
MANN_a9,dimacs,277,2,2,19.2197
frb30-15-4,bhoslib,278,3,3,235.866701
C250.9,dimacs,279,2,2,89.430002
DSJC1000.5,dimacs,280,8,6,685.826402
p_hat300-2,dimacs,281,10,5,78.537601
gen400_p0.9_75,dimacs,282,2,2,205.181001
frb53-24-1,bhoslib,283,4,3,1958.823901
p_hat300-2,dimacs,284,10,5,77.705101
frb45-21-1,bhoslib,285,4,3,1034.494601
san400_0.5_1,dimacs,286,14,8,127.550802
frb50-23-4,bhoslib,287,5,3,1556.852301
frb56-25-5,bhoslib,288,4,4,2406.904301
san200_0.7_2,dimacs,289,4,3,66.237501
C500.9,dimacs,290,2,2,312.256101
c-fat500-5,dimacs,291,7,7,85.783301
c-fat500-1,dimacs,292,31,31,58.034901
frb40-19-1,bhoslib,293,4,3,716.093301
p_hat700-2,dimacs,294,13,5,339.000301
frb50-23-5,bhoslib,295,3,3,1551.039201
johnson8-2-4,dimacs,296,3,3,18.320101
keller5,dimacs,297,4,4,614.8552
san400_0.7_1,dimacs,298,4,3,163.376901
frb30-15-2,bhoslib,299,3,3,277.559101
c-fat500-2,dimacs,300,16,16,56.949501
frb53-24-2,bhoslib,301,4,3,1926.320602
frb30-15-2,bhoslib,302,3,3,236.0496
frb53-24-2,bhoslib,303,4,3,1963.772101
san400_0.7_3,dimacs,304,6,4,165.374501
frb59-26-5,bhoslib,305,4,3,2907.859201
frb35-17-2,bhoslib,306,5,3,454.724401
frb53-24-3,bhoslib,307,4,3,1964.297401
frb45-21-5,bhoslib,308,4,4,1055.123902
frb56-25-3,bhoslib,309,5,4,2461.604201
frb30-15-5,bhoslib,310,5,2,236.192401
brock400_2,dimacs,311,4,3,217.371801
frb30-15-5,bhoslib,312,4,3,236.005701
MANN_a45,dimacs,313,2,2,1496.730002
frb59-26-4,bhoslib,314,5,3,3008.6368
C2000.9,dimacs,315,3,3,5039.975802
san200_0.7_1,dimacs,316,3,2,54.179901
frb53-24-3,bhoslib,317,4,3,1916.476901
gen400_p0.9_55,dimacs,318,2,2,207.001102
C250.9,dimacs,319,2,2,131.8407
frb59-26-3,bhoslib,320,4,3,2868.749601
frb35-17-3,bhoslib,321,3,3,412.9104
frb53-24-4,bhoslib,322,4,4,1920.882502
c-fat200-5,dimacs,323,3,3,40.7628
brock400_4,dimacs,324,4,3,174.905002
frb50-23-4,bhoslib,325,4,4,1565.610401
frb30-15-5,bhoslib,326,4,3,279.745302
frb59-26-4,bhoslib,327,5,3,2900.713801
frb40-19-1,bhoslib,328,4,3,731.497102
johnson32-2-4,dimacs,329,3,3,300.230901
san400_0.7_3,dimacs,330,6,4,164.002501
frb56-25-2,bhoslib,331,5,4,2363.223601
frb59-26-5,bhoslib,332,4,3,3018.5799
frb40-19-3,bhoslib,333,5,3,668.383502
frb45-21-1,bhoslib,334,4,3,1082.942101
gen200_p0.9_55,dimacs,335,2,2,62.929701
san400_0.5_1,dimacs,336,13,9,128.379302
san200_0.7_1,dimacs,337,3,2,54.794202
brock800_2,dimacs,338,6,4,568.409301
hamming6-4,dimacs,339,8,8,24.286601
frb53-24-2,bhoslib,340,4,3,1918.766801
san200_0.7_2,dimacs,341,4,3,96.486401
frb53-24-4,bhoslib,342,3,3,1974.529201
MANN_a27,dimacs,343,2,2,243.193601
frb56-25-4,bhoslib,344,4,4,2362.294
DSJC1000.5,dimacs,345,8,6,732.683601
brock400_2,dimacs,346,4,3,216.9602
hamming6-2,dimacs,347,2,2,22.268101
C2000.9,dimacs,348,3,3,4986.903102
keller5,dimacs,349,4,4,612.646701
frb40-19-3,bhoslib,350,5,3,665.505201
C1000.9,dimacs,351,3,3,1213.154401
san400_0.7_1,dimacs,352,4,3,164.284001
frb59-26-3,bhoslib,353,4,3,2850.242001
C500.9,dimacs,354,2,2,355.763402
san200_0.9_3,dimacs,355,2,2,76.805201
